s1 packet_in: 47, packet_out: 47, ratio: 1.00
s2 packet_in: 365, packet_out: 365, ratio: 1.00
s3 packet_in: 10, packet_out: 10, ratio: 1.00
s4 packet_in: 614, packet_out: 614, ratio: 1.00
s5 packet_in: 424, packet_out: 424, ratio: 1.00
s6 packet_in: 47, packet_out: 47, ratio: 1.00
s7 packet_in: 75, packet_out: 75, ratio: 1.00
s8 packet_in: 102, packet_out: 102, ratio: 1.00
s9 packet_in: 140, packet_out: 140, ratio: 1.00
s10 packet_in: 465, packet_out: 465, ratio: 1.00
s11 packet_in: 74, packet_out: 74, ratio: 1.00
s12 packet_in: 72, packet_out: 72, ratio: 1.00
s13 packet_in: 16, packet_out: 16, ratio: 1.00
s14 packet_in: 24, packet_out: 24, ratio: 1.00
s15 packet_in: 623, packet_out: 623, ratio: 1.00
s16 packet_in: 206, packet_out: 206, ratio: 1.00
s17 packet_in: 53, packet_out: 53, ratio: 1.00
s18 packet_in: 60, packet_out: 60, ratio: 1.00
s19 packet_in: 189, packet_out: 189, ratio: 1.00
s20 packet_in: 10, packet_out: 10, ratio: 1.00
s21 packet_in: 219, packet_out: 219, ratio: 1.00
s22 packet_in: 29, packet_out: 29, ratio: 1.00
s23 packet_in: 18, packet_out: 18, ratio: 1.00
s24 packet_in: 8, packet_out: 8, ratio: 1.00
s25 packet_in: 619, packet_out: 619, ratio: 1.00
s26 packet_in: 644, packet_out: 644, ratio: 1.00
s27 packet_in: 634, packet_out: 634, ratio: 1.00
s28 packet_in: 628, packet_out: 628, ratio: 1.00
s29 packet_in: 632, packet_out: 632, ratio: 1.00
s30 packet_in: 648, packet_out: 648, ratio: 1.00
s31 packet_in: 630, packet_out: 630, ratio: 1.00
s32 packet_in: 633, packet_out: 633, ratio: 1.00
s33 packet_in: 630, packet_out: 630, ratio: 1.00
s34 packet_in: 636, packet_out: 636, ratio: 1.00
s35 packet_in: 623, packet_out: 623, ratio: 1.00
s36 packet_in: 637, packet_out: 637, ratio: 1.00
s37 packet_in: 634, packet_out: 634, ratio: 1.00
s38 packet_in: 635, packet_out: 635, ratio: 1.00
s39 packet_in: 634, packet_out: 634, ratio: 1.00
s40 packet_in: 629, packet_out: 629, ratio: 1.00
s41 packet_in: 140, packet_out: 140, ratio: 1.00
s42 packet_in: 36, packet_out: 36, ratio: 1.00
s43 packet_in: 441, packet_out: 441, ratio: 1.00
s44 packet_in: 123, packet_out: 123, ratio: 1.00
s45 packet_in: 476, packet_out: 476, ratio: 1.00
s46 packet_in: 623, packet_out: 623, ratio: 1.00
s47 packet_in: 625, packet_out: 625, ratio: 1.00
s48 packet_in: 626, packet_out: 626, ratio: 1.00
s49 packet_in: 625, packet_out: 625, ratio: 1.00
s50 packet_in: 631, packet_out: 631, ratio: 1.00
s51 packet_in: 635, packet_out: 635, ratio: 1.00
s52 packet_in: 630, packet_out: 630, ratio: 1.00
