experiment,label,SPI_max_pairwise_distance,PFSI_max_pairwise_distance,TFSI_max_pairwise_distance,PPR_max_pairwise_distance,PPD_max_pairwise_distance
1,normal,0.441,12.5,23.5,0.0,0.0
1,compromised,0.9626,30.67,32.67,0.1100000000000001,0.11
2,normal,0.1684,8.0,23.5,0.0,0.0
2,compromised,1.1553,15.5,39.0,0.03,0.03
3,normal,0.3378,14.0,23.5,0.0,0.0
3,compromised,0.4243,10.0,24.5,0.0,0.0
4,normal,0.0757,28.5,24.5,0.0,0.0
4,compromised,0.3047,17.0,15.0,0.0,0.0
5,normal,0.1065,11.5,22.5,0.0,0.0
5,compromised,0.1448999999999999,14.5,21.5,0.0,0.0
6,normal,0.183,9.0,27.0,0.0,0.0
6,compromised,1.0564,22.5,36.5,0.51,0.51
7,normal,0.2604,12.0,12.0,0.0,0.0
7,compromised,0.5005000000000001,17.0,19.5,0.1299999999999999,0.13
8,normal,0.1447,15.5,15.5,0.0,0.0
8,compromised,0.6442,29.5,17.0,0.03,0.0
9,normal,0.3519,11.0,19.0,0.0,0.0
9,compromised,0.6707000000000001,4.5,19.5,0.05,0.0
10,normal,0.3692999999999999,41.5,17.5,0.0,0.0
10,compromised,0.4120999999999999,23.5,16.0,0.0,0.0
11,normal,0.1374,41.5,26.5,0.0,0.0
11,compromised,0.1770999999999999,9.5,15.0,0.06,0.06
12,normal,0.1714,17.0,34.0,0.0,0.0
12,compromised,0.6597000000000001,33.0,43.0,0.1,0.09
13,normal,0.3759,14.0,30.0,0.0,0.0
13,compromised,0.8818999999999999,14.0,23.5,0.25,0.22
14,normal,0.1343,12.0,23.5,0.0,0.0
14,compromised,0.6859,16.0,31.5,0.04,0.04
15,normal,0.8524,14.0,22.0,0.0,0.0
15,compromised,1.0055,12.0,17.0,0.1,0.1
16,normal,0.1387,14.5,21.5,0.0,0.0
16,compromised,1.0329,14.5,22.5,0.1699999999999999,0.17
17,normal,0.1846,10.0,24.0,0.0,0.0
17,compromised,0.8479,8.5,36.5,0.05,0.0
18,normal,0.0688999999999999,13.0,23.0,0.0,0.0
18,compromised,0.2182,12.5,15.0,0.1,0.1
19,normal,0.0962,11.0,27.0,0.0,0.0
19,compromised,0.8458,44.0,60.0,0.41,0.3
20,normal,0.1674,13.0,22.0,0.0,0.0
20,compromised,1.1377000000000002,20.5,67.5,0.1799999999999999,0.17
21,normal,0.2504,6.5,22.5,0.0,0.0
21,compromised,1.0716,22.5,14.5,0.1899999999999999,0.19
22,normal,0.1499,7.5,17.5,0.0,0.0
22,compromised,0.716,50.17,58.83,0.25,0.25
23,normal,0.1999999999999999,10.5,23.0,0.0,0.0
23,compromised,0.3863,28.0,45.0,0.1100000000000001,0.06
24,normal,0.175,15.0,0.0,0.0,0.0
24,compromised,0.1905,13.0,0.0,0.02,0.0
25,normal,0.056,9.0,16.0,0.0,0.0
25,compromised,0.1315,16.0,25.5,0.1099999999999999,0.0
26,normal,0.2125,16.0,19.0,0.0,0.0
26,compromised,0.6952,26.0,23.0,0.0,0.0
27,normal,0.1967999999999999,15.5,24.0,0.0,0.0
27,compromised,0.2478999999999999,18.0,15.0,0.1299999999999999,0.13
28,normal,0.1043,16.0,29.0,0.0,0.0
28,compromised,0.2699,20.0,28.0,0.2299999999999999,0.22
29,normal,0.2726,19.5,36.5,0.0,0.0
29,compromised,0.5593,43.5,34.67,0.33,0.28
30,normal,0.619,15.0,27.0,0.0,0.0
30,compromised,0.5141,30.0,37.0,0.27,0.26
31,normal,0.1513,8.0,25.0,0.0,0.0
31,compromised,0.3064,17.0,44.0,0.33,0.28
32,normal,0.2624999999999999,24.5,21.5,0.0,0.0
32,compromised,0.633,22.5,29.0,0.0,0.0
33,normal,0.1762,19.0,24.0,0.0,0.0
33,compromised,0.5528000000000001,20.0,28.0,0.1899999999999999,0.17
34,normal,0.2023,18.0,15.5,0.0,0.0
34,compromised,0.1533999999999999,17.5,22.5,0.03,0.0
35,normal,0.2544,17.0,21.0,0.0,0.0
35,compromised,0.9973,11.5,22.0,0.1499999999999999,0.15
36,normal,0.4001,18.0,28.0,0.0,0.0
36,compromised,0.6243,17.5,33.0,0.27,0.24
37,normal,0.4069,17.0,17.0,0.0,0.0
37,compromised,1.6855,12.5,38.0,0.05,0.0
38,normal,0.2115,6.0,26.5,0.0,0.0
38,compromised,0.2339,25.0,19.0,0.1100000000000001,0.07
39,normal,0.1458999999999999,8.5,28.5,0.0,0.0
39,compromised,0.1799,14.0,29.0,0.02,0.0
40,normal,0.3027999999999999,12.0,15.0,0.0,0.0
40,compromised,0.5687,27.0,40.0,0.09,0.09
41,normal,0.2108,20.0,14.5,0.0,0.0
41,compromised,0.2695,47.0,28.5,0.09,0.09
42,normal,0.1586,14.0,14.0,0.0,0.0
42,compromised,0.3572,15.0,20.0,0.04,0.0
43,normal,0.1618,14.0,19.0,0.0,0.0
43,compromised,0.4242,22.33,22.33,0.24,0.18
44,normal,0.1232,45.5,23.0,0.0,0.0
44,compromised,0.1514,27.0,18.0,0.05,0.05
45,normal,0.1491,13.5,18.0,0.0,0.0
45,compromised,0.3001,17.0,18.0,0.02,0.0
46,normal,0.24,23.5,28.5,0.0,0.0
