s1 packet_in: 0, packet_out: 0, ratio: N/A
s2 packet_in: 0, packet_out: 0, ratio: N/A
s3 packet_in: 0, packet_out: 0, ratio: N/A
s4 packet_in: 0, packet_out: 0, ratio: N/A
s5 packet_in: 0, packet_out: 0, ratio: N/A
s6 packet_in: 0, packet_out: 0, ratio: N/A
s7 packet_in: 0, packet_out: 0, ratio: N/A
s8 packet_in: 0, packet_out: 0, ratio: N/A
s9 packet_in: 0, packet_out: 0, ratio: N/A
s10 packet_in: 0, packet_out: 0, ratio: N/A
s11 packet_in: 0, packet_out: 0, ratio: N/A
s12 packet_in: 0, packet_out: 0, ratio: N/A
s13 packet_in: 0, packet_out: 0, ratio: N/A
s14 packet_in: 0, packet_out: 0, ratio: N/A
s15 packet_in: 0, packet_out: 0, ratio: N/A
s16 packet_in: 0, packet_out: 0, ratio: N/A
s17 packet_in: 0, packet_out: 0, ratio: N/A
s18 packet_in: 0, packet_out: 0, ratio: N/A
s19 packet_in: 0, packet_out: 0, ratio: N/A
s20 packet_in: 0, packet_out: 0, ratio: N/A
s21 packet_in: 0, packet_out: 0, ratio: N/A
s22 packet_in: 0, packet_out: 0, ratio: N/A
s23 packet_in: 0, packet_out: 0, ratio: N/A
s24 packet_in: 0, packet_out: 0, ratio: N/A
s25 packet_in: 0, packet_out: 0, ratio: N/A
s26 packet_in: 0, packet_out: 0, ratio: N/A
s27 packet_in: 0, packet_out: 0, ratio: N/A
s28 packet_in: 0, packet_out: 0, ratio: N/A
s29 packet_in: 0, packet_out: 0, ratio: N/A
s30 packet_in: 0, packet_out: 0, ratio: N/A
s31 packet_in: 0, packet_out: 0, ratio: N/A
s32 packet_in: 0, packet_out: 0, ratio: N/A
s33 packet_in: 0, packet_out: 0, ratio: N/A
s34 packet_in: 0, packet_out: 0, ratio: N/A
s35 packet_in: 0, packet_out: 0, ratio: N/A
s36 packet_in: 0, packet_out: 0, ratio: N/A
s37 packet_in: 0, packet_out: 0, ratio: N/A
s38 packet_in: 0, packet_out: 0, ratio: N/A
s39 packet_in: 0, packet_out: 0, ratio: N/A
s40 packet_in: 0, packet_out: 0, ratio: N/A
s41 packet_in: 0, packet_out: 0, ratio: N/A
s42 packet_in: 0, packet_out: 0, ratio: N/A
s43 packet_in: 0, packet_out: 0, ratio: N/A
s44 packet_in: 0, packet_out: 0, ratio: N/A
s45 packet_in: 0, packet_out: 0, ratio: N/A
