experiment,label,SPI_max_pairwise_distance,PFSI_max_pairwise_distance,TFSI_max_pairwise_distance,PPR_max_pairwise_distance,PPD_max_pairwise_distance
1.0,normal,0.2055,19.0,49.0,0.0,0.0
1.0,compromised,0.2902,24.0,46.0,0.08,0.08
2.0,normal,0.1132,44.0,73.5,0.0,0.0
2.0,compromised,0.3672999999999999,78.0,97.5,0.07,0.05
3.0,normal,0.1998,105.0,118.5,0.0,0.0
3.0,compromised,0.1591,68.5,73.0,0.1,0.1
4.0,normal,0.3234,15.5,47.5,0.0,0.0
4.0,compromised,0.3309,68.0,83.0,0.01,0.01
5.0,normal,0.27,90.5,80.0,0.0,0.0
5.0,compromised,0.2681,15.5,44.5,0.08,0.08
6.0,normal,0.1202999999999999,35.5,62.0,0.0,0.0
6.0,compromised,0.9351,38.5,70.0,0.06,0.06
7.0,normal,0.2046,110.5,117.0,0.0,0.0
7.0,compromised,0.5895,106.0,101.5,0.0799999999999999,0.0
8.0,normal,0.1011,76.0,57.0,0.0,0.0
8.0,compromised,0.2396999999999999,38.0,51.5,0.1799999999999999,0.18
9.0,normal,0.1882,70.5,81.5,0.0,0.0
9.0,compromised,0.4862,33.67,62.5,0.02,0.02
10.0,normal,0.6932,16.0,49.5,0.0,0.0
10.0,compromised,1.1093,38.0,51.5,0.1400000000000001,0.1
11.0,normal,0.1621,42.0,71.5,0.0,0.0
11.0,compromised,1.2269,142.5,127.5,0.0,0.0
12.0,normal,0.1745,21.5,60.5,0.0,0.0
12.0,compromised,1.0437999999999998,40.5,52.5,0.28,0.26
13.0,normal,0.512,17.5,58.0,0.0,0.0
13.0,compromised,1.55,25.5,32.5,0.2099999999999999,0.21
14.0,normal,0.2726,43.5,61.5,0.0,0.0
14.0,compromised,0.9783,93.5,116.5,0.04,0.04
15.0,normal,0.1374999999999999,52.5,80.5,0.0,0.0
15.0,compromised,1.1467,100.33,94.33,0.1100000000000001,0.11
16.0,normal,0.1202,109.5,116.5,0.0,0.0
16.0,compromised,1.2057,65.17,93.33,0.05,0.05
17.0,normal,0.1995,32.5,63.5,0.0,0.0
17.0,compromised,1.2401,86.5,111.5,0.09,0.06
18.0,normal,0.2213999999999999,19.0,46.5,0.0,0.0
18.0,compromised,0.2292,76.0,61.0,0.09,0.05
19.0,normal,0.2293,18.0,47.0,0.0,0.0
19.0,compromised,0.6427999999999999,26.0,50.0,0.14,0.0
20.0,normal,0.1567,46.0,68.0,0.0,0.0
20.0,compromised,0.4076,13.5,61.0,0.04,0.04
21.0,normal,0.4201,13.0,38.5,0.0,0.0
21.0,compromised,1.4127,21.0,61.33,0.01,0.0
22.0,normal,0.1573999999999999,39.5,61.0,0.0,0.0
22.0,compromised,0.9312,66.5,84.0,0.0,0.0
23.0,normal,0.5626,27.0,54.0,0.0,0.0
23.0,compromised,0.3491999999999999,51.67,85.33,0.05,0.02
24.0,normal,0.1376,110.5,85.5,0.0,0.0
24.0,compromised,0.9265,132.83,129.83,0.1300000000000001,0.1
25.0,normal,0.2088,93.5,85.5,0.0,0.0
25.0,compromised,0.3273999999999999,23.5,56.5,0.1299999999999999,0.13
26.0,normal,0.2565,23.5,56.5,0.0,0.0
26.0,compromised,1.03,21.0,59.0,0.01,0.01
27.0,normal,0.5665,19.5,53.5,0.0,0.0
27.0,compromised,0.4673,83.5,99.5,0.03,0.03
28.0,normal,0.3151,96.5,69.5,0.0,0.0
28.0,compromised,0.7945,90.17,105.17,0.0,0.0
29.0,normal,0.1818,16.0,54.5,0.0,0.0
29.0,compromised,1.448,115.0,163.0,0.03,0.0
30.0,normal,0.2923,31.5,45.5,0.0,0.0
30.0,compromised,0.1752999999999999,16.5,59.5,0.0,0.0
31.0,normal,0.1507,82.0,106.5,0.0,0.0
31.0,compromised,1.3262,101.0,170.0,0.27,0.24
32.0,normal,0.4121,27.5,42.5,0.0,0.0
32.0,compromised,0.932,108.5,137.5,0.1,0.1
33.0,normal,0.1528,13.5,50.5,0.0,0.0
33.0,compromised,0.1875,15.5,63.5,0.01,0.01
34.0,normal,0.3622999999999999,26.0,61.0,0.0,0.0
34.0,compromised,0.2257,71.0,85.5,0.06,0.0
35.0,normal,0.2493999999999999,64.0,61.0,0.0,0.0
35.0,compromised,0.8989999999999999,50.5,59.5,0.05,0.02
36.0,normal,0.1519,95.0,70.5,0.0,0.0
36.0,compromised,0.5885999999999999,56.5,67.5,0.1299999999999999,0.13
37.0,normal,0.2645,20.0,52.5,0.0,0.0
37.0,compromised,0.7724,154.83,150.33,0.1200000000000001,0.11
38.0,normal,0.2082999999999999,80.0,71.0,0.0,0.0
38.0,compromised,1.2391,102.17,117.17,0.0,0.0
39.0,normal,0.2468,44.5,76.5,0.0,0.0
