s1 packet_in: 0, packet_out: 0, ratio: N/A
s2 packet_in: 0, packet_out: 0, ratio: N/A
s3 packet_in: 2, packet_out: 2, ratio: 1.00
s4 packet_in: 4, packet_out: 4, ratio: 1.00
s5 packet_in: 2, packet_out: 2, ratio: 1.00
s6 packet_in: 1, packet_out: 1, ratio: 1.00
s7 packet_in: 1, packet_out: 1, ratio: 1.00
s8 packet_in: 1, packet_out: 1, ratio: 1.00
s9 packet_in: 2, packet_out: 2, ratio: 1.00
s10 packet_in: 2, packet_out: 2, ratio: 1.00
s11 packet_in: 3, packet_out: 3, ratio: 1.00
s12 packet_in: 1, packet_out: 1, ratio: 1.00
s13 packet_in: 1, packet_out: 1, ratio: 1.00
s14 packet_in: 1, packet_out: 1, ratio: 1.00
s15 packet_in: 2, packet_out: 2, ratio: 1.00
s16 packet_in: 1, packet_out: 1, ratio: 1.00
s17 packet_in: 65, packet_out: 65, ratio: 1.00
s18 packet_in: 22, packet_out: 22, ratio: 1.00
s19 packet_in: 71, packet_out: 71, ratio: 1.00
s20 packet_in: 38, packet_out: 38, ratio: 1.00
s21 packet_in: 3, packet_out: 3, ratio: 1.00
s22 packet_in: 1, packet_out: 1, ratio: 1.00
s23 packet_in: 3, packet_out: 3, ratio: 1.00
s24 packet_in: 8, packet_out: 8, ratio: 1.00
s25 packet_in: 2, packet_out: 2, ratio: 1.00
s26 packet_in: 2, packet_out: 2, ratio: 1.00
s27 packet_in: 1, packet_out: 1, ratio: 1.00
s28 packet_in: 5, packet_out: 5, ratio: 1.00
s29 packet_in: 3, packet_out: 3, ratio: 1.00
s30 packet_in: 2, packet_out: 2, ratio: 1.00
s31 packet_in: 7, packet_out: 7, ratio: 1.00
s32 packet_in: 2, packet_out: 2, ratio: 1.00
s33 packet_in: 1, packet_out: 1, ratio: 1.00
s34 packet_in: 4, packet_out: 4, ratio: 1.00
s35 packet_in: 2, packet_out: 2, ratio: 1.00
s36 packet_in: 5, packet_out: 5, ratio: 1.00
s37 packet_in: 3, packet_out: 3, ratio: 1.00
s38 packet_in: 2, packet_out: 2, ratio: 1.00
s39 packet_in: 2, packet_out: 2, ratio: 1.00
s40 packet_in: 7, packet_out: 7, ratio: 1.00
s41 packet_in: 63, packet_out: 63, ratio: 1.00
s42 packet_in: 24, packet_out: 24, ratio: 1.00
s43 packet_in: 63, packet_out: 63, ratio: 1.00
s44 packet_in: 15, packet_out: 15, ratio: 1.00
s45 packet_in: 3, packet_out: 3, ratio: 1.00
s46 packet_in: 4, packet_out: 4, ratio: 1.00
s47 packet_in: 4, packet_out: 4, ratio: 1.00
s48 packet_in: 3, packet_out: 3, ratio: 1.00
s49 packet_in: 35, packet_out: 35, ratio: 1.00
s50 packet_in: 158, packet_out: 158, ratio: 1.00
s51 packet_in: 112, packet_out: 112, ratio: 1.00
s52 packet_in: 8, packet_out: 8, ratio: 1.00
s53 packet_in: 5, packet_out: 5, ratio: 1.00
s54 packet_in: 6, packet_out: 6, ratio: 1.00
s55 packet_in: 4, packet_out: 4, ratio: 1.00
s56 packet_in: 4, packet_out: 4, ratio: 1.00
s57 packet_in: 54, packet_out: 54, ratio: 1.00
s58 packet_in: 46, packet_out: 46, ratio: 1.00
s59 packet_in: 4, packet_out: 4, ratio: 1.00
s60 packet_in: 6, packet_out: 6, ratio: 1.00
s61 packet_in: 2, packet_out: 2, ratio: 1.00
s62 packet_in: 6, packet_out: 6, ratio: 1.00
s63 packet_in: 4, packet_out: 4, ratio: 1.00
s64 packet_in: 11, packet_out: 11, ratio: 1.00
s65 packet_in: 6, packet_out: 6, ratio: 1.00
s66 packet_in: 7, packet_out: 7, ratio: 1.00
s67 packet_in: 4, packet_out: 4, ratio: 1.00
s68 packet_in: 8, packet_out: 8, ratio: 1.00
s69 packet_in: 6, packet_out: 6, ratio: 1.00
s70 packet_in: 6, packet_out: 6, ratio: 1.00
s71 packet_in: 8, packet_out: 8, ratio: 1.00
s72 packet_in: 4, packet_out: 4, ratio: 1.00
s73 packet_in: 44, packet_out: 44, ratio: 1.00
s74 packet_in: 392, packet_out: 392, ratio: 1.00
s75 packet_in: 59, packet_out: 59, ratio: 1.00
s76 packet_in: 6, packet_out: 6, ratio: 1.00
s77 packet_in: 6, packet_out: 6, ratio: 1.00
s78 packet_in: 2, packet_out: 2, ratio: 1.00
s79 packet_in: 4, packet_out: 4, ratio: 1.00
s80 packet_in: 6, packet_out: 6, ratio: 1.00
