s1 packet_in: 12, packet_out: 12, ratio: 1.00
s2 packet_in: 4, packet_out: 4, ratio: 1.00
s3 packet_in: 4, packet_out: 4, ratio: 1.00
s4 packet_in: 8, packet_out: 8, ratio: 1.00
s5 packet_in: 7, packet_out: 7, ratio: 1.00
s6 packet_in: 6, packet_out: 6, ratio: 1.00
s7 packet_in: 12, packet_out: 12, ratio: 1.00
s8 packet_in: 6, packet_out: 6, ratio: 1.00
s9 packet_in: 3, packet_out: 3, ratio: 1.00
s10 packet_in: 11, packet_out: 11, ratio: 1.00
s11 packet_in: 71, packet_out: 71, ratio: 1.00
s12 packet_in: 9, packet_out: 9, ratio: 1.00
s13 packet_in: 12, packet_out: 12, ratio: 1.00
s14 packet_in: 10, packet_out: 10, ratio: 1.00
s15 packet_in: 8, packet_out: 8, ratio: 1.00
s16 packet_in: 8, packet_out: 8, ratio: 1.00
s17 packet_in: 6, packet_out: 6, ratio: 1.00
s18 packet_in: 25, packet_out: 25, ratio: 1.00
s19 packet_in: 51, packet_out: 51, ratio: 1.00
s20 packet_in: 11, packet_out: 11, ratio: 1.00
s21 packet_in: 90, packet_out: 90, ratio: 1.00
s22 packet_in: 96, packet_out: 96, ratio: 1.00
s23 packet_in: 92, packet_out: 92, ratio: 1.00
s24 packet_in: 81, packet_out: 81, ratio: 1.00
s25 packet_in: 91, packet_out: 91, ratio: 1.00
s26 packet_in: 21, packet_out: 21, ratio: 1.00
s27 packet_in: 8, packet_out: 8, ratio: 1.00
s28 packet_in: 10, packet_out: 10, ratio: 1.00
s29 packet_in: 8, packet_out: 8, ratio: 1.00
s30 packet_in: 9, packet_out: 9, ratio: 1.00
s31 packet_in: 17, packet_out: 17, ratio: 1.00
s32 packet_in: 48, packet_out: 48, ratio: 1.00
s33 packet_in: 2, packet_out: 2, ratio: 1.00
s34 packet_in: 2, packet_out: 2, ratio: 1.00
s35 packet_in: 6, packet_out: 6, ratio: 1.00
s36 packet_in: 4, packet_out: 4, ratio: 1.00
s37 packet_in: 99, packet_out: 99, ratio: 1.00
s38 packet_in: 53, packet_out: 53, ratio: 1.00
s39 packet_in: 47, packet_out: 47, ratio: 1.00
s40 packet_in: 185, packet_out: 185, ratio: 1.00
s41 packet_in: 17, packet_out: 17, ratio: 1.00
s42 packet_in: 29, packet_out: 29, ratio: 1.00
s43 packet_in: 15, packet_out: 15, ratio: 1.00
s44 packet_in: 57, packet_out: 57, ratio: 1.00
s45 packet_in: 5, packet_out: 5, ratio: 1.00
s46 packet_in: 3, packet_out: 3, ratio: 1.00
s47 packet_in: 2, packet_out: 2, ratio: 1.00
s48 packet_in: 2, packet_out: 2, ratio: 1.00
s49 packet_in: 29, packet_out: 29, ratio: 1.00
s50 packet_in: 118, packet_out: 118, ratio: 1.00
s51 packet_in: 12, packet_out: 12, ratio: 1.00
s52 packet_in: 4, packet_out: 4, ratio: 1.00
s53 packet_in: 6, packet_out: 6, ratio: 1.00
s54 packet_in: 462, packet_out: 462, ratio: 1.00
s55 packet_in: 263, packet_out: 263, ratio: 1.00
s56 packet_in: 2, packet_out: 2, ratio: 1.00
s57 packet_in: 101, packet_out: 101, ratio: 1.00
s58 packet_in: 2, packet_out: 2, ratio: 1.00
s59 packet_in: 6, packet_out: 6, ratio: 1.00
s60 packet_in: 43, packet_out: 43, ratio: 1.00
s61 packet_in: 141, packet_out: 141, ratio: 1.00
s62 packet_in: 6, packet_out: 6, ratio: 1.00
s63 packet_in: 8, packet_out: 8, ratio: 1.00
s64 packet_in: 28, packet_out: 28, ratio: 1.00
s65 packet_in: 118, packet_out: 118, ratio: 1.00
s66 packet_in: 6, packet_out: 6, ratio: 1.00
s67 packet_in: 7, packet_out: 7, ratio: 1.00
s68 packet_in: 6, packet_out: 6, ratio: 1.00
s69 packet_in: 69, packet_out: 69, ratio: 1.00
s70 packet_in: 6, packet_out: 6, ratio: 1.00
s71 packet_in: 214, packet_out: 214, ratio: 1.00
s72 packet_in: 45, packet_out: 45, ratio: 1.00
s73 packet_in: 10, packet_out: 10, ratio: 1.00
s74 packet_in: 232, packet_out: 232, ratio: 1.00
s75 packet_in: 63, packet_out: 63, ratio: 1.00
s76 packet_in: 6, packet_out: 6, ratio: 1.00
s77 packet_in: 6, packet_out: 6, ratio: 1.00
s78 packet_in: 9, packet_out: 9, ratio: 1.00
s79 packet_in: 4, packet_out: 4, ratio: 1.00
s80 packet_in: 4, packet_out: 4, ratio: 1.00
