s1 packet_in: 13, packet_out: 13, ratio: 1.00
s2 packet_in: 232, packet_out: 232, ratio: 1.00
s3 packet_in: 70, packet_out: 70, ratio: 1.00
s4 packet_in: 264, packet_out: 264, ratio: 1.00
s5 packet_in: 421, packet_out: 421, ratio: 1.00
s6 packet_in: 15, packet_out: 15, ratio: 1.00
s7 packet_in: 222, packet_out: 222, ratio: 1.00
s8 packet_in: 106, packet_out: 106, ratio: 1.00
s9 packet_in: 12, packet_out: 12, ratio: 1.00
s10 packet_in: 50, packet_out: 50, ratio: 1.00
s11 packet_in: 14, packet_out: 14, ratio: 1.00
s12 packet_in: 94, packet_out: 94, ratio: 1.00
s13 packet_in: 17, packet_out: 17, ratio: 1.00
s14 packet_in: 14, packet_out: 14, ratio: 1.00
s15 packet_in: 63, packet_out: 63, ratio: 1.00
s16 packet_in: 14, packet_out: 14, ratio: 1.00
s17 packet_in: 20, packet_out: 20, ratio: 1.00
s18 packet_in: 96, packet_out: 96, ratio: 1.00
s19 packet_in: 455, packet_out: 455, ratio: 1.00
s20 packet_in: 27, packet_out: 27, ratio: 1.00
s21 packet_in: 13, packet_out: 13, ratio: 1.00
s22 packet_in: 14, packet_out: 14, ratio: 1.00
s23 packet_in: 422, packet_out: 422, ratio: 1.00
s24 packet_in: 22, packet_out: 22, ratio: 1.00
s25 packet_in: 51, packet_out: 51, ratio: 1.00
s26 packet_in: 268, packet_out: 268, ratio: 1.00
s27 packet_in: 253, packet_out: 253, ratio: 1.00
s28 packet_in: 152, packet_out: 304, ratio: 2.00
s29 packet_in: 30, packet_out: 30, ratio: 1.00
s30 packet_in: 185, packet_out: 185, ratio: 1.00
s31 packet_in: 4, packet_out: 4, ratio: 1.00
s32 packet_in: 44, packet_out: 44, ratio: 1.00
s33 packet_in: 7, packet_out: 7, ratio: 1.00
s34 packet_in: 38, packet_out: 38, ratio: 1.00
s35 packet_in: 46, packet_out: 46, ratio: 1.00
s36 packet_in: 16, packet_out: 16, ratio: 1.00
s37 packet_in: 29, packet_out: 29, ratio: 1.00
s38 packet_in: 5, packet_out: 5, ratio: 1.00
s39 packet_in: 61, packet_out: 61, ratio: 1.00
s40 packet_in: 40, packet_out: 40, ratio: 1.00
s41 packet_in: 110, packet_out: 110, ratio: 1.00
s42 packet_in: 422, packet_out: 422, ratio: 1.00
s43 packet_in: 737, packet_out: 737, ratio: 1.00
s44 packet_in: 755, packet_out: 755, ratio: 1.00
s45 packet_in: 95, packet_out: 95, ratio: 1.00
s46 packet_in: 87, packet_out: 87, ratio: 1.00
s47 packet_in: 365, packet_out: 365, ratio: 1.00
s48 packet_in: 63, packet_out: 63, ratio: 1.00
s49 packet_in: 623, packet_out: 623, ratio: 1.00
s50 packet_in: 93, packet_out: 93, ratio: 1.00
s51 packet_in: 19, packet_out: 19, ratio: 1.00
s52 packet_in: 94, packet_out: 94, ratio: 1.00
s53 packet_in: 19, packet_out: 19, ratio: 1.00
s54 packet_in: 31, packet_out: 31, ratio: 1.00
s55 packet_in: 110, packet_out: 110, ratio: 1.00
s56 packet_in: 473, packet_out: 473, ratio: 1.00
s57 packet_in: 704, packet_out: 704, ratio: 1.00
s58 packet_in: 177, packet_out: 177, ratio: 1.00
s59 packet_in: 66, packet_out: 66, ratio: 1.00
s60 packet_in: 1185, packet_out: 1185, ratio: 1.00
s61 packet_in: 333, packet_out: 333, ratio: 1.00
s62 packet_in: 21, packet_out: 21, ratio: 1.00
s63 packet_in: 80, packet_out: 80, ratio: 1.00
s64 packet_in: 99, packet_out: 99, ratio: 1.00
s65 packet_in: 116, packet_out: 116, ratio: 1.00
s66 packet_in: 72, packet_out: 72, ratio: 1.00
s67 packet_in: 85, packet_out: 85, ratio: 1.00
s68 packet_in: 56, packet_out: 56, ratio: 1.00
s69 packet_in: 61, packet_out: 61, ratio: 1.00
s70 packet_in: 101, packet_out: 101, ratio: 1.00
s71 packet_in: 2097, packet_out: 2097, ratio: 1.00
s72 packet_in: 1242, packet_out: 1242, ratio: 1.00
s73 packet_in: 1507, packet_out: 1507, ratio: 1.00
s74 packet_in: 1389, packet_out: 1389, ratio: 1.00
s75 packet_in: 2070, packet_out: 2070, ratio: 1.00
s76 packet_in: 1549, packet_out: 1549, ratio: 1.00
s77 packet_in: 90, packet_out: 90, ratio: 1.00
s78 packet_in: 66, packet_out: 66, ratio: 1.00
s79 packet_in: 86, packet_out: 86, ratio: 1.00
s80 packet_in: 12, packet_out: 12, ratio: 1.00
s81 packet_in: 4, packet_out: 4, ratio: 1.00
s82 packet_in: 4, packet_out: 4, ratio: 1.00
s83 packet_in: 789, packet_out: 789, ratio: 1.00
s84 packet_in: 102, packet_out: 102, ratio: 1.00
s85 packet_in: 6, packet_out: 6, ratio: 1.00
s86 packet_in: 280, packet_out: 280, ratio: 1.00
s87 packet_in: 11, packet_out: 11, ratio: 1.00
s88 packet_in: 10, packet_out: 10, ratio: 1.00
s89 packet_in: 63, packet_out: 63, ratio: 1.00
s90 packet_in: 2, packet_out: 2, ratio: 1.00
s91 packet_in: 1108, packet_out: 1108, ratio: 1.00
s92 packet_in: 60, packet_out: 60, ratio: 1.00
s93 packet_in: 1426, packet_out: 1426, ratio: 1.00
s94 packet_in: 257, packet_out: 257, ratio: 1.00
s95 packet_in: 176, packet_out: 176, ratio: 1.00
s96 packet_in: 93, packet_out: 93, ratio: 1.00
s97 packet_in: 1473, packet_out: 1473, ratio: 1.00
s98 packet_in: 62, packet_out: 62, ratio: 1.00
s99 packet_in: 131, packet_out: 131, ratio: 1.00
s100 packet_in: 417, packet_out: 417, ratio: 1.00
s101 packet_in: 0, packet_out: 0, ratio: N/A
s102 packet_in: 6, packet_out: 6, ratio: 1.00
s103 packet_in: 8, packet_out: 8, ratio: 1.00
s104 packet_in: 209, packet_out: 209, ratio: 1.00
s105 packet_in: 4, packet_out: 4, ratio: 1.00
s106 packet_in: 218, packet_out: 218, ratio: 1.00
s107 packet_in: 66, packet_out: 66, ratio: 1.00
s108 packet_in: 2107, packet_out: 2107, ratio: 1.00
s109 packet_in: 88, packet_out: 88, ratio: 1.00
s110 packet_in: 83, packet_out: 83, ratio: 1.00
s111 packet_in: 4, packet_out: 4, ratio: 1.00
s112 packet_in: 2, packet_out: 2, ratio: 1.00
s113 packet_in: 90, packet_out: 90, ratio: 1.00
s114 packet_in: 2397, packet_out: 2397, ratio: 1.00
s115 packet_in: 677, packet_out: 677, ratio: 1.00
s116 packet_in: 8, packet_out: 8, ratio: 1.00
s117 packet_in: 6, packet_out: 6, ratio: 1.00
s118 packet_in: 1087, packet_out: 1087, ratio: 1.00
s119 packet_in: 101, packet_out: 101, ratio: 1.00
s120 packet_in: 950, packet_out: 950, ratio: 1.00
s121 packet_in: 434, packet_out: 434, ratio: 1.00
s122 packet_in: 3850, packet_out: 3850, ratio: 1.00
s123 packet_in: 91, packet_out: 91, ratio: 1.00
s124 packet_in: 4, packet_out: 4, ratio: 1.00
s125 packet_in: 109, packet_out: 109, ratio: 1.00
