s1 packet_in: 11, packet_out: 11, ratio: 1.00
s2 packet_in: 14, packet_out: 14, ratio: 1.00
s3 packet_in: 6, packet_out: 6, ratio: 1.00
s4 packet_in: 6, packet_out: 6, ratio: 1.00
s5 packet_in: 54, packet_out: 54, ratio: 1.00
s6 packet_in: 17, packet_out: 17, ratio: 1.00
s7 packet_in: 14, packet_out: 14, ratio: 1.00
s8 packet_in: 82, packet_out: 82, ratio: 1.00
s9 packet_in: 80, packet_out: 80, ratio: 1.00
s10 packet_in: 157, packet_out: 157, ratio: 1.00
s11 packet_in: 46, packet_out: 46, ratio: 1.00
s12 packet_in: 40, packet_out: 40, ratio: 1.00
s13 packet_in: 124, packet_out: 124, ratio: 1.00
s14 packet_in: 10, packet_out: 10, ratio: 1.00
s15 packet_in: 37, packet_out: 37, ratio: 1.00
s16 packet_in: 14, packet_out: 14, ratio: 1.00
s17 packet_in: 171, packet_out: 171, ratio: 1.00
s18 packet_in: 92, packet_out: 92, ratio: 1.00
s19 packet_in: 11, packet_out: 11, ratio: 1.00
s20 packet_in: 115, packet_out: 115, ratio: 1.00
s21 packet_in: 42, packet_out: 42, ratio: 1.00
s22 packet_in: 9, packet_out: 9, ratio: 1.00
s23 packet_in: 89, packet_out: 89, ratio: 1.00
s24 packet_in: 14, packet_out: 14, ratio: 1.00
s25 packet_in: 44, packet_out: 44, ratio: 1.00
s26 packet_in: 17, packet_out: 17, ratio: 1.00
s27 packet_in: 64, packet_out: 64, ratio: 1.00
s28 packet_in: 34, packet_out: 34, ratio: 1.00
s29 packet_in: 61, packet_out: 61, ratio: 1.00
s30 packet_in: 7, packet_out: 7, ratio: 1.00
s31 packet_in: 6, packet_out: 6, ratio: 1.00
s32 packet_in: 11, packet_out: 11, ratio: 1.00
s33 packet_in: 50, packet_out: 50, ratio: 1.00
s34 packet_in: 11, packet_out: 11, ratio: 1.00
s35 packet_in: 41, packet_out: 41, ratio: 1.00
s36 packet_in: 46, packet_out: 46, ratio: 1.00
s37 packet_in: 269, packet_out: 269, ratio: 1.00
s38 packet_in: 41, packet_out: 41, ratio: 1.00
s39 packet_in: 166, packet_out: 166, ratio: 1.00
s40 packet_in: 40, packet_out: 40, ratio: 1.00
s41 packet_in: 128, packet_out: 128, ratio: 1.00
s42 packet_in: 265, packet_out: 265, ratio: 1.00
s43 packet_in: 51, packet_out: 51, ratio: 1.00
s44 packet_in: 17, packet_out: 17, ratio: 1.00
s45 packet_in: 174, packet_out: 174, ratio: 1.00
s46 packet_in: 21, packet_out: 21, ratio: 1.00
