s1 packet_in: 0, packet_out: 0, ratio: N/A
s2 packet_in: 6, packet_out: 6, ratio: 1.00
s3 packet_in: 56, packet_out: 56, ratio: 1.00
s4 packet_in: 47, packet_out: 47, ratio: 1.00
s5 packet_in: 7, packet_out: 7, ratio: 1.00
s6 packet_in: 6, packet_out: 6, ratio: 1.00
s7 packet_in: 50, packet_out: 50, ratio: 1.00
s8 packet_in: 74, packet_out: 74, ratio: 1.00
s9 packet_in: 7, packet_out: 7, ratio: 1.00
s10 packet_in: 4, packet_out: 4, ratio: 1.00
s11 packet_in: 15, packet_out: 15, ratio: 1.00
s12 packet_in: 42, packet_out: 42, ratio: 1.00
s13 packet_in: 93, packet_out: 93, ratio: 1.00
s14 packet_in: 43, packet_out: 43, ratio: 1.00
s15 packet_in: 5, packet_out: 5, ratio: 1.00
s16 packet_in: 3, packet_out: 3, ratio: 1.00
s17 packet_in: 6, packet_out: 6, ratio: 1.00
s18 packet_in: 243, packet_out: 243, ratio: 1.00
s19 packet_in: 10, packet_out: 10, ratio: 1.00
s20 packet_in: 30, packet_out: 30, ratio: 1.00
s21 packet_in: 2, packet_out: 2, ratio: 1.00
s22 packet_in: 3, packet_out: 3, ratio: 1.00
s23 packet_in: 58, packet_out: 58, ratio: 1.00
s24 packet_in: 6, packet_out: 6, ratio: 1.00
s25 packet_in: 5, packet_out: 5, ratio: 1.00
s26 packet_in: 107, packet_out: 107, ratio: 1.00
s27 packet_in: 99, packet_out: 99, ratio: 1.00
s28 packet_in: 117, packet_out: 117, ratio: 1.00
s29 packet_in: 379, packet_out: 379, ratio: 1.00
s30 packet_in: 90, packet_out: 90, ratio: 1.00
s31 packet_in: 282, packet_out: 282, ratio: 1.00
s32 packet_in: 333, packet_out: 333, ratio: 1.00
s33 packet_in: 218, packet_out: 218, ratio: 1.00
s34 packet_in: 431, packet_out: 431, ratio: 1.00
s35 packet_in: 78, packet_out: 78, ratio: 1.00
s36 packet_in: 359, packet_out: 359, ratio: 1.00
s37 packet_in: 144, packet_out: 144, ratio: 1.00
s38 packet_in: 17, packet_out: 17, ratio: 1.00
s39 packet_in: 30, packet_out: 30, ratio: 1.00
s40 packet_in: 92, packet_out: 92, ratio: 1.00
s41 packet_in: 48, packet_out: 48, ratio: 1.00
s42 packet_in: 1411, packet_out: 1411, ratio: 1.00
s43 packet_in: 682, packet_out: 682, ratio: 1.00
s44 packet_in: 1743, packet_out: 1743, ratio: 1.00
s45 packet_in: 1386, packet_out: 1386, ratio: 1.00
s46 packet_in: 4, packet_out: 4, ratio: 1.00
s47 packet_in: 2, packet_out: 2, ratio: 1.00
s48 packet_in: 3, packet_out: 3, ratio: 1.00
s49 packet_in: 5, packet_out: 5, ratio: 1.00
s50 packet_in: 4, packet_out: 4, ratio: 1.00
s51 packet_in: 8, packet_out: 8, ratio: 1.00
s52 packet_in: 39, packet_out: 39, ratio: 1.00
s53 packet_in: 201, packet_out: 201, ratio: 1.00
s54 packet_in: 17, packet_out: 17, ratio: 1.00
s55 packet_in: 10, packet_out: 10, ratio: 1.00
s56 packet_in: 513, packet_out: 513, ratio: 1.00
s57 packet_in: 147, packet_out: 147, ratio: 1.00
s58 packet_in: 376, packet_out: 376, ratio: 1.00
s59 packet_in: 111, packet_out: 111, ratio: 1.00
s60 packet_in: 389, packet_out: 389, ratio: 1.00
s61 packet_in: 113, packet_out: 113, ratio: 1.00
s62 packet_in: 142, packet_out: 142, ratio: 1.00
s63 packet_in: 308, packet_out: 308, ratio: 1.00
s64 packet_in: 55, packet_out: 55, ratio: 1.00
s65 packet_in: 13, packet_out: 13, ratio: 1.00
s66 packet_in: 1047, packet_out: 1047, ratio: 1.00
s67 packet_in: 44, packet_out: 44, ratio: 1.00
s68 packet_in: 323, packet_out: 323, ratio: 1.00
s69 packet_in: 374, packet_out: 374, ratio: 1.00
s70 packet_in: 71, packet_out: 71, ratio: 1.00
s71 packet_in: 93, packet_out: 93, ratio: 1.00
s72 packet_in: 94, packet_out: 94, ratio: 1.00
s73 packet_in: 56, packet_out: 56, ratio: 1.00
s74 packet_in: 438, packet_out: 438, ratio: 1.00
s75 packet_in: 722, packet_out: 722, ratio: 1.00
s76 packet_in: 430, packet_out: 430, ratio: 1.00
s77 packet_in: 96, packet_out: 96, ratio: 1.00
s78 packet_in: 172, packet_out: 172, ratio: 1.00
s79 packet_in: 213, packet_out: 213, ratio: 1.00
s80 packet_in: 710, packet_out: 710, ratio: 1.00
s81 packet_in: 1933, packet_out: 1933, ratio: 1.00
s82 packet_in: 2121, packet_out: 2121, ratio: 1.00
s83 packet_in: 10, packet_out: 10, ratio: 1.00
s84 packet_in: 103, packet_out: 103, ratio: 1.00
s85 packet_in: 410, packet_out: 410, ratio: 1.00
s86 packet_in: 108, packet_out: 108, ratio: 1.00
s87 packet_in: 12, packet_out: 12, ratio: 1.00
s88 packet_in: 47, packet_out: 47, ratio: 1.00
s89 packet_in: 1045, packet_out: 1045, ratio: 1.00
s90 packet_in: 250, packet_out: 250, ratio: 1.00
s91 packet_in: 63, packet_out: 63, ratio: 1.00
s92 packet_in: 550, packet_out: 550, ratio: 1.00
s93 packet_in: 2399, packet_out: 2399, ratio: 1.00
s94 packet_in: 29, packet_out: 29, ratio: 1.00
s95 packet_in: 3228, packet_out: 3228, ratio: 1.00
s96 packet_in: 13, packet_out: 13, ratio: 1.00
s97 packet_in: 2, packet_out: 2, ratio: 1.00
s98 packet_in: 6, packet_out: 6, ratio: 1.00
s99 packet_in: 6, packet_out: 6, ratio: 1.00
s100 packet_in: 2, packet_out: 2, ratio: 1.00
s101 packet_in: 8, packet_out: 8, ratio: 1.00
s102 packet_in: 96, packet_out: 96, ratio: 1.00
s103 packet_in: 124, packet_out: 124, ratio: 1.00
s104 packet_in: 4, packet_out: 4, ratio: 1.00
s105 packet_in: 4, packet_out: 4, ratio: 1.00
s106 packet_in: 95, packet_out: 95, ratio: 1.00
s107 packet_in: 541, packet_out: 541, ratio: 1.00
s108 packet_in: 2378, packet_out: 2378, ratio: 1.00
s109 packet_in: 97, packet_out: 97, ratio: 1.00
s110 packet_in: 2, packet_out: 2, ratio: 1.00
s111 packet_in: 2, packet_out: 2, ratio: 1.00
s112 packet_in: 97, packet_out: 97, ratio: 1.00
s113 packet_in: 6, packet_out: 6, ratio: 1.00
s114 packet_in: 1960, packet_out: 1960, ratio: 1.00
s115 packet_in: 60, packet_out: 60, ratio: 1.00
s116 packet_in: 1420, packet_out: 1420, ratio: 1.00
s117 packet_in: 6, packet_out: 6, ratio: 1.00
s118 packet_in: 92, packet_out: 92, ratio: 1.00
s119 packet_in: 2494, packet_out: 2494, ratio: 1.00
s120 packet_in: 407, packet_out: 407, ratio: 1.00
s121 packet_in: 1727, packet_out: 1727, ratio: 1.00
s122 packet_in: 1804, packet_out: 1804, ratio: 1.00
s123 packet_in: 100, packet_out: 100, ratio: 1.00
s124 packet_in: 1268, packet_out: 1268, ratio: 1.00
s125 packet_in: 598, packet_out: 598, ratio: 1.00
